Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Tissue,Library Name,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,Cultivar,AGE,dev_stage,source_name,Biomaterial_provider,GEO_Accession (exp),AssemblyName,alignment_software (exp),individual,batch_of_trees,gene_perturbation_type,drought_treatment,molecule_subtype,type,Collection_Date,lat_lon,BIOME,estimated_size,feature,isol_growth_condt,material,num_replicons,ploidy,propagation,ref_biomaterial,Run_ID (run),nominal_length (run),isolate,env_package,investigation_type,project_name,Strain,ecotype,replicate,Broker_name,developmental_stage,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,organism_part,sample_name,SRA_accession,Title,Alias,ena_checklist,organism,Treatment,isolation_source,Host,description,Cell_type,collected_by,sample_type,Genotype,overexpressed_gene,transfection_time,days_after_drought_treatment,genetic_background,plant_strain,symbiotic_status,days_after_bending_treatment,Biological.Replicate,Cell_Line,culture_collection,disease,disease_stage,growth_protocol,height_or_length,phenotype,population,sex,Specimen_voucher,Temp,time_of_contact,transfected_genes,fungal_strain,pt_clone,common_name,ena_first_public,ena_last_update,external_id,Geographic_location,growth_condition,Submitter_Id,accession,lb_strain,gender,innoculant,label
SRR3207689,RNA-Seq,100,1519740700,PRJNA314500,SAMN04536066,929546507,GEO,public,"fastq,unknown_contigs,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1616765,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081933,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081933,,,,NSF5,"knockdown of HCT1,HCT6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207690,RNA-Seq,100,1294090500,PRJNA314500,SAMN04536217,794346269,GEO,public,"unknown_contigs,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1616766,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081934,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081934,,,,NSF5,"knockdown of HCT1,HCT6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207691,RNA-Seq,100,1456429600,PRJNA314500,SAMN04536218,909167589,GEO,public,"sra,fastq,unknown_contigs","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1616767,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081935,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081935,,,,NSF5,"knockdown of CAld5H1,CAld5H2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207692,RNA-Seq,100,1050783400,PRJNA314500,SAMN04536219,655471011,GEO,public,"unknown_contigs,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1616768,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081936,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081936,,,,NSF5,"knockdown of CAld5H1,CAld5H2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207693,RNA-Seq,68,354653592,PRJNA314500,SAMN04536070,220258831,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1616484,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081652,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081652,,,,NSF1,knockdown of PAL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207694,RNA-Seq,100,3807225900,PRJNA314500,SAMN04536071,2227305397,GEO,public,"sra,fastq,unknown_contigs","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1616485,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081653,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081653,,,,NSF1,knockdown of PAL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207695,RNA-Seq,68,223311864,PRJNA314500,SAMN04536072,139623766,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1616486,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081654,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081654,,,,NSF1,knockdown of PAL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207696,RNA-Seq,100,2162905700,PRJNA314500,SAMN04536073,1268794839,GEO,public,"fastq,unknown_contigs,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1616487,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081655,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081655,,,,NSF1,knockdown of PAL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207697,RNA-Seq,68,666083528,PRJNA314500,SAMN04536074,412914569,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1616488,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081656,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081656,,,,NSF1,knockdown of PAL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207698,RNA-Seq,68,331629540,PRJNA314500,SAMN04536075,226002319,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1616489,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081657,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081657,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207699,RNA-Seq,68,360220208,PRJNA314500,SAMN04536076,243851907,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1616490,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081658,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081658,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207700,RNA-Seq,68,402061560,PRJNA314500,SAMN04536077,271645529,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1616491,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081659,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081659,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207701,RNA-Seq,68,540497184,PRJNA314500,SAMN04536078,341152075,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1616492,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081660,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081660,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207702,RNA-Seq,68,624645892,PRJNA314500,SAMN04536079,392740273,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1616493,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081661,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081661,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207703,RNA-Seq,68,622034216,PRJNA314500,SAMN04536080,387546114,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1616494,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081662,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081662,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207704,RNA-Seq,68,337742128,PRJNA314500,SAMN04536081,222927966,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1616495,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081663,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081663,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207705,RNA-Seq,68,428524576,PRJNA314500,SAMN04536082,281691801,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1616496,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081664,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081664,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207706,RNA-Seq,68,341473492,PRJNA314500,SAMN04536083,223821223,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1616497,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081665,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081665,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207707,RNA-Seq,68,420652828,PRJNA314500,SAMN04536084,284424657,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1616498,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081666,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081666,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207708,RNA-Seq,68,487695796,PRJNA314500,SAMN04536085,328394729,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1616499,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081667,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081667,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207709,RNA-Seq,68,453630856,PRJNA314500,SAMN04536086,309612374,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1616500,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081668,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081668,,,,NSF1,"knockdown of PAL2,PAL4,PAL5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207710,RNA-Seq,68,448801088,PRJNA314500,SAMN04536087,299426081,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1616501,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081669,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081669,,,,NSF1,overexpression of CAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207711,RNA-Seq,68,552693732,PRJNA314500,SAMN04536088,367185601,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1616502,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081670,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081670,,,,NSF1,overexpression of CAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207712,RNA-Seq,68,373300892,PRJNA314500,SAMN04536089,248924020,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1616503,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081671,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081671,,,,NSF1,overexpression of CAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207713,RNA-Seq,68,412530364,PRJNA314500,SAMN04536090,277459368,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1616504,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081672,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081672,,,,NSF1,overexpression of CAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207714,RNA-Seq,68,418147096,PRJNA314500,SAMN04536091,280526001,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1616505,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081673,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081673,,,,NSF1,overexpression of CAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207715,RNA-Seq,68,358423036,PRJNA314500,SAMN04536092,240891106,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX1616506,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081674,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081674,,,,NSF1,overexpression of CAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207716,RNA-Seq,68,359437392,PRJNA314500,SAMN04536093,242674328,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1616507,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081675,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081675,,,,NSF1,overexpression of CAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
